Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
1998;Argentina;73.21;324242;9005;148055;4.09;19.95;7.88;36005000
;Bolivia;61.2;8490;1058;8362;1.04;31.33;9.96;8026000
;Brasil;69.42;865115;5128;332466;1.95;21.15;6.28;168693000
;Chile;75.81;81562;5447;54328;3.65;17.74;5.34;14975000
;Colombia;72.26;117323;2993;67854;1.73;23.36;4.5;39200000
;Costa Rica;77.12;13634;3639;5155;1.37;20.89;3.92;3747000
;Cuba;76.23;25736;2331;27757;2.51;13.63;7.16;11038692
;Ecuador;72.08;27474;2258;24456;2.01;26.52;5.31;12168000
;El salvador;68.28;10937;1892;5891;1.02;26.73;6.86;5780000
;Guatemala;66.82;17488;1571;8637;0.78;36.4;6.61;11134000
;Haití;56.65;3719;455;1528;0.19;32.71;11.58;8174680
;Honduras;70.04;6366;1028;4812;0.78;35.36;5.47;6192000
;México;73.63;526522;5346;383676;3.88;24.7;4.5;98485000
;Nicaragua;68.67;4635;973;3575;0.73;28.42;5.54;4763000
;Panamá;74.69;11762;4027;5735;1.97;24.04;4.79;2921000
;Paraguay;70.09;9260;1825;4519;0.89;28.51;5.61;5075000
;Perú;70.27;53918;2141;27228;1.08;25.06;5.99;25182269
;Rep. Dom;68.93;21672;2659;17433;2.1;25.68;6.16;8152000
;Uruguay;74.31;25394;7667;5805;1.76;16.73;9.75;3312000
;Venezuela;72.16;91905;3973;135397;5.74;24.54;5.08;23130000
1999;Argentina;73.4;307673;8453;152230;4.15;19.7;7.86;36399000
;Bolivia;61.84;8269;1011;7974;0.97;30.82;9.68;8183000
;Brasil;69.77;599867;3503;341628;1.98;20.65;6.23;171256000
;Chile;76.09;75094;4953;56892;3.77;17.11;5.33;15162000
;Colombia;72.62;102780;2589;59419;1.49;22.8;4.6;39700000
;Costa Rica;77.29;14211;3703;5145;1.34;20.09;3.93;3838000
;Cuba;76.48;28365;2559;28556;2.57;13.37;7.16;11084670
;Ecuador;72.43;19740;1599;20295;1.64;26.02;5.24;12347000
;El salvador;68.58;11284;1936;5857;1.01;25.84;6.81;5830000
;Guatemala;67.35;16492;1448;8599;0.76;35.89;6.42;11387000
;Haití;56.89;4148;499;1581;0.19;32.24;11.43;8319057
;Honduras;70.38;6417;1009;4881;0.77;34.65;5.35;6357000
;México;73.99;600225;6020;372822;3.72;24.27;4.5;99706000
;Nicaragua;69.1;4856;999;3610;0.73;27.69;5.43;4859000
;Panamá;74.88;12326;4136;5022;1.69;23.76;4.78;2980000
;Paraguay;70.31;8837;1706;4526;0.87;27.75;5.56;5179000
;Perú;70.7;48719;1904;29277;1.15;24.55;5.86;25588546
;Rep. Dom;69.18;22137;2675;18802;2.23;25.21;6.14;8276000
;Uruguay;74.52;23995;7193;6819;2.06;16.42;9.86;3336000
;Venezuela;72.28;97239;4122;124863;5.2;24.16;5.08;23593000
2000;Argentina;73.58;308491;8387;150566;4.06;19.5;7.85;36784000
;Bolivia;62.45;8385;1005;8268;0.99;30.31;9.41;8340000
;Brasil;70.12;655435;3772;364390;2.08;20.12;6.19;173766000
;Chile;76.37;77815;5072;53239;3.49;16.56;5.34;15343000
;Colombia;72.95;98931;2455;61841;1.53;22.26;4.7;40296000
;Costa Rica;77.45;14965;3928;5103;1.3;19.34;3.96;3810000
;Cuba;76.7;30565;2747;28930;2.59;13.07;7.17;11126430
;Ecuador;72.76;18319;1462;21836;1.73;25.5;5.18;12531000
;El salvador;68.88;11785;2008;5808;0.99;24.93;6.77;5870000
;Guatemala;67.85;17187;1475;9594;0.82;35.34;6.24;11651000
;Haití;57.13;3952;467;1610;0.19;31.78;11.28;8463806
;Honduras;70.69;7104;1089;5059;0.78;33.83;5.24;6524000
;México;74.34;707909;7016;397058;3.9;23.85;4.3;100896000
;Nicaragua;69.53;5109;1031;3763;0.75;27.05;5.34;4957000
;Panamá;75.06;12502;4112;5207;1.72;23.45;4.78;3041000
;Paraguay;70.55;8856;1676;3757;0.71;26.97;5.51;5284000
;Perú;71.11;50414;1940;28928;1.12;24.07;5.75;25983588
;Rep. Dom;69.43;24306;2894;19714;2.3;24.77;6.12;8398000
;Uruguay;74.73;22832;6817;5450;1.64;15.99;9.23;3349000
;Venezuela;72.4;117676;4824;132588;5.41;23.8;5.09;24394000
2001;Argentina;73.76;291738;7852;140938;3.76;19.33;7.83;37156000
;Bolivia;63.05;8155;960;7732;0.91;29.8;9.16;8496000
;Brasil;70.46;559962;3178;366222;2.06;19.55;6.15;176209000
;Chile;76.63;70971;4573;51167;3.31;16.09;5.35;15520000
